  Ex = [mV]  ,  Ey = [mV]  ,Hx = [mV]  ,Hy = [mV]  ,Hz = [mV]  
  -0.1061556  ,  -9.307861E-02  ,  -3.78418  ,  0.7720947  ,  -22.09966  
  -0.2788996  ,  -0.1074219  ,  -3.457642  ,  0.8544922  ,  -23.45073  
  -0.6031566  ,  -0.2133179  ,  -4.663086  ,  0.3662109  ,  -22.8717  
  -0.5626245  ,  -0.2624512  ,  -6.088257  ,  -0.1220703  ,  -21.61713  
  -0.2345073  ,  -0.2148438  ,  -5.883789  ,  0.3082275  ,  -22.29267  
  -0.28662  ,  -0.2322388  ,  -6.188965  ,  0.1586914  ,  -28.46899  
  -0.2036257  ,  -0.1675415  ,  -6.268311  ,  -0.112915  ,  -25.86335  
  2.798647E-02  ,  -0.1599121  ,  -5.874634  ,  8.239746E-02  ,  -22.48568  
  0.2595986  ,  -8.117676E-02  ,  -4.785156  ,  0.680542  ,  -23.83675  
  0.1988004  ,  -0.144043  ,  -4.522705  ,  0.8392334  ,  -25.95986  
  0.1515129  ,  -0.1611328  ,  -4.708862  ,  0.7019043  ,  -29.33754  
  -4.632243E-02  ,  -0.1870728  ,  -6.002808  ,  1.525879E-02  ,  -29.53055  
  -9.650505E-04  ,  -0.1477051  ,  -5.53894  ,  -8.239746E-02  ,  -30.78511  
  0.4178669  ,  -0.1522827  ,  -5.029297  ,  0.7293701  ,  -27.79346  
  0.4429582  ,  -0.1620483  ,  -5.059814  ,  0.7354736  ,  -30.5921  
  0.3956707  ,  -0.1669312  ,  -4.6875  ,  0.8117676  ,  -31.17113  
  0.3348725  ,  -0.1702881  ,  -4.79126  ,  0.6134033  ,  -31.75016  
  0.439098  ,  -0.1974487  ,  -5.044556  ,  0.7415771  ,  -30.01307  
  0.4844554  ,  -0.196228  ,  -5.209351  ,  0.668335  ,  -31.36414  
  0.5558691  ,  -0.1373291  ,  -4.379272  ,  0.9552002  ,  -31.07463  
  0.325222  ,  -0.1229858  ,  -3.75061  ,  0.9063721  ,  -30.97812  
  -1.351071E-02  ,  -0.128479  ,  -3.289795  ,  0.2471924  ,  -30.01307  
  0.2615287  ,  -0.1449585  ,  -3.088379  ,  0.5554199  ,  -31.55715  
  0.5037564  ,  -0.1480103  ,  -2.429199  ,  1.461792  ,  -31.07463  
  0.3860202  ,  -0.2072144  ,  -2.835083  ,  1.568604  ,  -30.10958  
  0.1785344  ,  -0.2429199  ,  -4.397583  ,  0.9155273  ,  -28.7585  
  0.1447576  ,  -0.1980591  ,  -3.903198  ,  1.028442  ,  -28.85501  
  0.1071206  ,  -0.2139282  ,  -3.994751  ,  0.982666  ,  -32.13618  
  0.2441578  ,  -0.2688599  ,  -4.345703  ,  1.608276  ,  -29.72356  
  0.4487485  ,  -0.2459717  ,  -4.476929  ,  1.364136  ,  -30.68861  
  0.5066515  ,  -0.1754761  ,  -3.173828  ,  1.199341  ,  -30.01307  
  0.4873505  ,  -0.196228  ,  -3.259277  ,  1.080322  ,  -32.5222  
  0.5201623  ,  -0.2316284  ,  -3.430176  ,  0.970459  ,  -31.65366  
  0.57324  ,  -0.1986694  ,  -2.987671  ,  1.104736  ,  -32.71521  
  0.7749356  ,  -0.2087402  ,  -2.322388  ,  1.791382  ,  -32.5222  
  0.7508093  ,  -0.223999  ,  -2.578735  ,  1.751709  ,  -33.96978  
  0.7903764  ,  -0.1559448  ,  -1.522827  ,  1.818848  ,  -36.76842  
  0.7865162  ,  -0.1446533  ,  -0.7141113  ,  1.931763  ,  -36.96143  
  0.439098  ,  -0.2227783  ,  -1.629639  ,  1.220703  ,  -33.29424  
  0.4072513  ,  -0.2572632  ,  -2.563477  ,  0.6652832  ,  -34.25929  
  0.7382637  ,  -0.1895142  ,  -2.22168  ,  0.7965088  ,  -35.22434  
