  Ex = [mV]  , Ey = [mV]  , Hx = [mV]  ,Hy = [mV]  ,Hz = [mV]  
  3.860202  ,  22.70508  ,  5.645545  ,  0.7110596  ,  12.45117  
  18.2105  ,  28.38135  ,  13.48176  ,  3.485107  ,  -1.922607  
  19.07905  ,  24.56665  ,  15.3636  ,  3.970337  ,  -11.04736  
  14.3696  ,  5.981445  ,  9.235533  ,  2.536011  ,  -14.77051  
  3.773347  ,  -8.850098  ,  -0.1544081  ,  0.3479004  ,  -5.889893  
  -10.16198  ,  -16.44897  ,  -7.83621  ,  -1.977539  ,  8.880615  
  -16.92698  ,  -11.8103  ,  -10.18128  ,  -2.944946  ,  21.02661  
  -15.41186  ,  0.4577637  ,  -6.919412  ,  -2.304077  ,  24.26147  
  -5.143719  ,  14.19067  ,  0.7334384  ,  -0.5065918  ,  18.06641  
  11.04983  ,  23.89526  ,  7.83621  ,  1.63269  ,  5.79834  
  20.55557  ,  25.11597  ,  12.18859  ,  2.932739  ,  -6.92749  
  22.76554  ,  16.8457  ,  11.93767  ,  3.411865  ,  -13.06152  
  19.67738  ,  0.3356934  ,  4.892806  ,  3.213501  ,  -10.62012  
  0.1737091  ,  -12.42065  ,  -3.339075  ,  0.9216309  ,  0.6713867  
  -21.0574  ,  -15.80811  ,  -9.679457  ,  -2.636719  ,  14.4043  
  -26.94421  ,  -5.67627  ,  -10.01722  ,  -4.403687  ,  22.79663  
  -21.53993  ,  6.896973  ,  -4.670845  ,  -3.646851  ,21698
  -3.44523  ,  19.16504  ,  3.030258  ,  -1.266479  ,  12.54272  
  11.27179  ,  25.14648  ,  9.631204  ,  0.8544922  ,  -0.4882813  
  13.3177  ,  19.31763  ,  11.19459  ,  1.251221  ,  -10.92529  
  11.68676  ,  5.645752  ,  6.340382  ,  0.4241943  ,  -12.26807  
  2.904802  ,  -8.636475  ,  -2.306471  ,  -1.068115  ,  -3.875732  
  -10.46115  ,  -16.75415  ,  -10.25849  ,  -2.993774  ,  10.13184  
